"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8"
"ATP13A2",0.114885269652502,0.093906617357569,0.0741911768654764,0.0517081082240389,0.201795845221834,0.0310025964207596,0.243821525842879,0,0
"SDHB",0.749020742327628,2.77218768291672,1.49107283057699,1.03232907121238,0.742291783049754,1.49169001352081,1.12640887217769,1.53354609610198,1.1602274045713
"PADI2",0,0.027536619901408,0,0,0,0,0,0,0
"PADI4",0.122470726447154,0.238452665584489,0.0269652331808119,0.109201156626519,0.0384980094081286,0.0546263306020616,0.141246739640135,0.36788653572532,0.816593173281071
"RCC2",0.0466978506514982,0.323216094329611,0.0885164811553945,0.0711280054644542,0.150314305284566,0.127953169401789,0.296569320195323,0.446043774557803,0
"ARHGEF10L",0.00588131506204787,0.182004352943874,0.00534367869528741,0,0,0.0912032361696865,0,0,0
"ALDH4A1",0.00244200244200244,0.00714679298385039,0.00913958151684151,0,0,0,0,0,0
"IFFO2",0.02968167365055,0.0181229160015989,0.0366287581418553,0,0.0217260003736872,0.0120988622229966,0.0937375997989535,0.0789141414141414,0
"UBR4",0.154842956208495,0.646618353145589,0.183514318899214,0.131369093770422,0.196251019507587,0.143205985775623,0.255550062139466,0.0568595342066958,0
"RP1-43E13.2",0.0360976183935312,0.0217696401310618,0.0246851660291403,0,0,0,0,0,0
"EMC1",0.0331330987210645,0.0366529958830221,0.0217385891923134,0.0926165258426891,0.0274923804238807,0.09363377309109,0.251534272773885,0,0
"MRTO4",0.31127635699514,0.111411752860127,0.216789646908345,0.246008736379947,0.155205791176068,0.10431496015546,0.21143804762132,0.0506975989617132,0
"AKR7A2",0.579369456407772,0.777379006070825,0.52576136218405,0.5926069122768,0.713429645794597,0.475776004391873,0.779579188681536,1.04826045123302,1.23472033584393
"PQLC2",0.0204803259533107,0.0405290787678253,0.0267826643039639,0.0525582744721021,0.0290830305098761,0.0548849101410295,0.038288503876711,0.0551049197672368,0
"CAPZB",3.50954371388728,4.07646194446558,4.82530258825067,2.82461008159573,4.45674343721318,6.24838173962924,5.775893512359,3.16377812357776,9.39645816758415
"MINOS1-NBL1",0.00451222813825467,0,0.00896721049809267,0,0,0.0273292958228074,0,0,0
"MINOS1",1.354014659643,1.32019722634829,1.614737800239,1.21898141737246,1.48746379976544,1.56543188465511,1.29529829007578,1.06499558535451,1.46632798922341
"NBL1",0.0106668099594551,0,0.0419851889180653,0,0.0326680416505105,0,0,0,0
"TMCO4",0.0300204416315293,0.0152171686375836,0.0503664520971637,0.0830876426287418,0.0641461682274646,0.0571129879008075,0.096755713933756,0.11077632045374,0
"OTUD3",0.0295264667290193,0.0529104576256654,0.014589889999273,0,0.0115080228181076,0,0,0,0
